Report_Month,Community_ID,Unit_Type,Units,Move_Ins,MTM,MTM_Conversions,Renewal_Leases_Approved,Transfers,Notices,Move_Outs,Renewal_Transfers,Skips,Evictions,Leased,Source_File_Name,Source_Sheet
2026-04-01,GKP,A1C,30,2,0,0,0,0,0,0,0,0,0,3,02 - RISE - Box Score-11.xlsx,Rise At Glen Kernan Park
2026-04-01,GKP,A2E,3,0,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise At Glen Kernan Park
2026-04-01,GKP,A2G,38,2,0,0,0,2,1,1,0,0,0,3,02 - RISE - Box Score-11.xlsx,Rise At Glen Kernan Park
2026-04-01,GKP,A2H,20,0,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise At Glen Kernan Park
2026-04-01,GKP,A3F,10,0,0,0,0,0,0,0,0,0,0,2,02 - RISE - Box Score-11.xlsx,Rise At Glen Kernan Park
2026-04-01,GKP,A4C,8,0,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise At Glen Kernan Park
2026-04-01,GKP,B1A,61,1,0,0,0,0,0,0,0,0,0,2,02 - RISE - Box Score-11.xlsx,Rise At Glen Kernan Park
2026-04-01,GKP,B1K,10,0,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise At Glen Kernan Park
2026-04-01,GKP,B3A,56,3,0,0,0,1,1,1,0,0,0,3,02 - RISE - Box Score-11.xlsx,Rise At Glen Kernan Park
2026-04-01,GKP,H2D,52,2,0,0,0,0,2,2,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise At Glen Kernan Park
2026-04-01,GKP,H2F,20,3,1,0,0,1,1,1,0,0,0,1,02 - RISE - Box Score-11.xlsx,Rise At Glen Kernan Park
2026-04-01,NOC,A1-A,9,0,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise At Nocatee
2026-04-01,NOC,A2-B,41,1,0,0,0,0,3,2,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise At Nocatee
2026-04-01,NOC,A3-B,30,0,0,0,2,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise At Nocatee
2026-04-01,NOC,A4-A,9,0,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise At Nocatee
2026-04-01,NOC,B1-C,43,2,0,0,0,0,0,0,0,0,0,3,02 - RISE - Box Score-11.xlsx,Rise At Nocatee
2026-04-01,NOC,B2-A,18,0,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise At Nocatee
2026-04-01,NOC,B3-F,10,1,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise At Nocatee
2026-04-01,NOC,B3-G,5,1,0,0,0,0,0,0,0,0,0,1,02 - RISE - Box Score-11.xlsx,Rise At Nocatee
2026-04-01,NOC,B3-J,9,1,0,0,0,0,0,0,0,0,0,1,02 - RISE - Box Score-11.xlsx,Rise At Nocatee
2026-04-01,NOC,C1-A,4,0,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise At Nocatee
2026-04-01,BAR,A1,83,0,0,0,4,0,6,4,0,0,0,2,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,A2,19,1,0,0,0,0,0,1,0,0,1,1,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,A3,4,0,0,0,0,0,0,1,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,A4,33,0,0,0,2,0,-1,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,A5,8,1,0,0,0,0,1,0,0,0,0,1,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,B1,27,3,0,0,1,0,-1,1,0,0,0,2,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,B2,44,1,0,0,5,0,-1,0,0,0,0,3,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,B3,28,1,0,0,1,0,1,0,0,0,0,2,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,B4,3,0,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,B5,9,0,0,0,1,0,-1,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,B6,8,0,0,0,0,0,1,1,0,0,1,0,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,B7,2,0,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,B8,6,0,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,C1,16,1,0,0,0,0,2,0,0,0,0,1,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,S1,3,0,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAR,S2,4,0,0,0,0,0,0,1,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Bartram Park
2026-04-01,BAY,A1,105,6,1,0,5,0,5,3,0,0,0,8,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,A2,22,0,0,0,0,0,1,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,A3,20,1,0,0,0,0,0,0,0,0,0,4,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,A4,8,2,0,0,0,0,0,0,0,0,0,1,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,B1,33,3,0,0,1,0,0,0,0,0,0,7,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,B1.1,2,1,0,0,0,0,0,1,0,0,0,1,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,B2,38,3,0,0,2,0,2,2,0,1,0,4,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,B2.1,3,0,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,B2.2,3,0,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,B3,8,1,0,0,0,0,0,0,0,0,0,1,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,B4,58,2,0,0,2,0,1,0,0,0,0,3,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,C1,16,2,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,C2,7,2,0,0,0,0,0,0,0,0,0,1,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,C2.1,2,0,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,BAY,S1,6,0,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Baymeadows
2026-04-01,CIT,B1,56,2,0,0,0,0,1,0,0,0,0,3,02 - RISE - Box Score-11.xlsx,Rise Citrus Ridge Townhomes
2026-04-01,CIT,C1,166,8,0,0,4,0,4,3,0,0,0,10,02 - RISE - Box Score-11.xlsx,Rise Citrus Ridge Townhomes
2026-04-01,DOR,A1,16,2,0,0,0,0,0,0,0,0,0,2,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,A1-L,38,0,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,A2,11,1,0,0,0,0,0,0,0,0,0,1,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,A2-L,28,0,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,A3,7,1,0,0,0,0,0,0,0,0,0,1,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,A3-L,2,0,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,A4,7,0,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,A4-L,2,0,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,A5,5,3,0,0,0,0,0,0,0,0,0,3,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,B1,7,0,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,B2,11,0,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,B2-L,9,0,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,B3,14,0,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,B4,9,2,0,0,0,0,0,0,0,0,0,2,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,B4-L,6,0,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,L1,9,0,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,L2,4,0,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,S1,40,2,0,0,0,0,0,0,0,0,0,1,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,S2,5,0,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,S3,9,1,0,0,0,0,0,0,0,0,0,1,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,S4,4,1,0,0,0,0,0,0,0,0,0,1,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,S5,4,0,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,FLO,B1,55,2,0,0,0,0,-1,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Florence Villa Townhomes
2026-04-01,FLO,C1,169,5,0,0,0,0,19,20,0,0,1,10,02 - RISE - Box Score-11.xlsx,Rise Florence Villa Townhomes
2026-04-01,SER,A1,79,6,0,0,6,0,2,1,0,0,0,7,02 - RISE - Box Score-11.xlsx,Rise Sereno
2026-04-01,SER,A2,39,4,0,0,0,0,1,0,0,0,0,4,02 - RISE - Box Score-11.xlsx,Rise Sereno
2026-04-01,SER,B1,63,2,0,0,5,0,2,5,0,0,0,4,02 - RISE - Box Score-11.xlsx,Rise Sereno
2026-04-01,SER,B2,2,0,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Sereno
2026-04-01,SER,B3,78,5,0,0,3,0,4,1,0,0,0,5,02 - RISE - Box Score-11.xlsx,Rise Sereno
2026-04-01,SER,C1,20,1,0,0,1,0,1,0,0,0,0,1,02 - RISE - Box Score-11.xlsx,Rise Sereno
2026-04-01,SER,S1,18,1,0,0,0,0,1,1,0,0,0,1,02 - RISE - Box Score-11.xlsx,Rise Sereno
2026-04-01,SER,TA1,3,0,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Sereno
2026-04-01,SER,TB1,4,0,0,0,1,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Sereno
2026-04-01,SER,TB2,10,2,0,0,0,0,0,0,0,0,0,2,02 - RISE - Box Score-11.xlsx,Rise Sereno
2026-04-01,SER,TC1,4,0,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Sereno
2026-04-01,STA,B1,92,1,0,0,0,0,0,0,0,0,0,1,02 - RISE - Box Score-11.xlsx,Rise St. Augustine
2026-04-01,STA,C1,180,1,0,0,0,0,0,0,0,0,0,1,02 - RISE - Box Score-11.xlsx,Rise St. Augustine
2026-04-01,VIE,A1,24,0,0,0,1,0,0,1,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Viera
2026-04-01,VIE,A2,24,0,0,0,3,0,0,0,0,0,0,1,02 - RISE - Box Score-11.xlsx,Rise Viera
2026-04-01,VIE,A3,24,1,0,0,1,0,0,1,0,0,0,2,02 - RISE - Box Score-11.xlsx,Rise Viera
2026-04-01,VIE,A4-A,14,1,0,0,1,1,0,0,0,0,0,1,02 - RISE - Box Score-11.xlsx,Rise Viera
2026-04-01,VIE,A4-B,8,0,0,0,0,0,1,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Viera
2026-04-01,VIE,B1,32,1,0,0,1,0,0,1,0,0,0,1,02 - RISE - Box Score-11.xlsx,Rise Viera
2026-04-01,VIE,B3,16,0,0,0,1,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Viera
2026-04-01,VIE,H1C,2,0,0,0,0,0,0,0,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Viera
2026-04-01,VIE,H2A,8,1,0,0,0,0,1,0,0,0,0,3,02 - RISE - Box Score-11.xlsx,Rise Viera
2026-04-01,VIE,H3B,14,0,0,0,0,0,2,1,0,0,0,3,02 - RISE - Box Score-11.xlsx,Rise Viera
